urun_fiyat,urun_puan,ekran_ekran_boyutu,ekran_ekran_teknolojisi,ekran_ekran_çözünürlüğü_standardı,ekran_ekran_yenileme_hızı,ekran_ekran_dayanıklılığı,batarya_batarya_kapasitesi_tipik,batarya_hızlı_şarj,batarya_hızlı_şarj_gücü_maks.,batarya_kablosuz_şarj,kamera_kamera_çözünürlüğü,kamera_optik_görüntü_sabitleyici_ois,kamera_video_kayıt_çözünürlüğü,kamera_video_fps_değeri,kamera_ön_kamera_çözünürlüğü,temel_donanim_yonga_seti_chipset,temel_donanim_cpu_çekirdeği,temel_donanim_cpu_üretim_teknolojisi,temel_donanim_antutu_puanı_v10,temel_donanim_bellek_ram,temel_donanim_dahili_depolama,tasarim_kalınlık,tasarim_ağırlık,tasarim_gövde_malzemesi_kapak,ağ_bağlantilari_5g,kablosuz_bağlantilar_bluetooth_versiyonu,kablosuz_bağlantilar_nfc,i̇şleti̇m_si̇stemi̇_i̇şletim_sistemi,özelli̇kler_suya_dayanıklılık,özelli̇kler_suya_dayanıklılık_seviyesi
14299.00,59,6.7 İnç,Super AMOLED,FHD+,120 Hz,Corning Gorilla Glass Victus+,5000 mAh,Var,25 W,Yok,50 MP,Var,2160p (Ultra HD) 4K,30 fps,13 MP,Samsung Exynos 1380,8 Çekirdek,5 nm,599.200 Puan,8 GB,256 GB,7.7 mm,200 Gram,Cam,Var,5.3,Var,Android,Var,IPX7
65770.85,83,6.8 İnç,Dynamic AMOLED,QHD+,120 Hz,Corning Gorilla Armor,5000 mAh,Var,45 W,Var,200 MP,Var,4320p (Ultra HD) 8K,30 fps,12 MP,Qualcomm Snapdragon 8 Gen 3 (SM8650-AB/AC),8 Çekirdek,4 nm,2.019.200 Puan,12 GB,256 GB,8.6 mm,232 Gram,Cam,Var,5.3,Var,Android,Var,IPX8
20999.00,66,6.79 İnç,AMOLED,FHD+,120 Hz,,7500 mAh,Var,66 W,Yok,108 MP,Var,2160p (Ultra HD) 4K,30 fps,16 MP,Qualcomm Snapdragon 6 Gen 4 (SM6650),8 Çekirdek,4 nm,754.200 Puan,8 GB,256 GB,7.76 mm,189 Gram,Plastik (Cam Görünümlü),Var,5.2,Var,Android,Var,IPX9K
7749.00,42,6.7 İnç,PLS,HD+,90 Hz,,5000 mAh,Var,25 W,Yok,50 MP,Yok,1080p (Full HD),30 fps,8 MP,MediaTek Helio G99 (MT6789),8 Çekirdek,6 nm,394.400 Puan,4 GB,128 GB,7.6 mm,184 Gram,Plastik (Cam Görünümlü),Yok,5.3,Yok,Android,Var,IPX4
79006.48,88,6.9 İnç,Dynamic AMOLED,QHD+,120 Hz,Corning Gorilla Armor 2,5000 mAh,Var,45 W,Var,200 MP,Var,4320p (Ultra HD) 8K,30 fps,12 MP,Qualcomm Snapdragon 8 Elite,8 Çekirdek,3 nm,2.551.600 Puan,12 GB,512 GB,8.2 mm,218 Gram,Cam,Var,5.4,Var,Android,Var,IPX8
21389.93,73,6.67 İnç,AMOLED,FHD+,120 Hz,Corning Gorilla Glass 7i,6000 mAh,Var,90 W,Yok,50 MP,Var,2160p (Ultra HD) 4K,60 fps,20 MP,MediaTek Dimensity 8400,8 Çekirdek,4 nm,1.700.100 Puan,8 GB,256 GB,8.29 mm,195 Gram,Kauçuk/Plastik (Deri Görünümlü) | Plastik (Cam Görünümlü),Var,6.0,Var,Android,Var,IPX8
13266.06,55,6.7 İnç,Super AMOLED,FHD+,90 Hz,Corning Gorilla Glass Victus,5000 mAh,Var,25 W,Yok,50 MP,Var,1080p (Full HD),30 fps,13 MP,Samsung Exynos 1330,8 Çekirdek,5 nm,463.100 Puan,8 GB,256 GB,7.5 mm,192 Gram,,Var,5.3,Var,Android,Var,IPX4
53449.00,71,6.1 İnç,OLED,FHD+,60 Hz,Corning Ceramic Shield Glass,3349 mAh,Var,20 W,Var,48 MP,Var,2160p (Ultra HD) 4K,60 fps,12 MP,Apple A16 Bionic,6 Çekirdek,4 nm,1.753.700 Puan,6 GB,256 GB,7.8 mm,171 Gram,Cam,Var,5.3,Var,iOS,Var,IPX8
77999.00,84,6.3 İnç,OLED,FHD+,120 Hz,Corning Ceramic Shield Glass (Gen2),3582 mAh,Var,25 W,Var,48 MP,Var,2160p (Ultra HD) 4K,60 fps,12 MP,Apple A18 Pro,6 Çekirdek,3 nm,1.853.700 Puan,8 GB,128 GB,8.25 mm,199 Gram,Cam,Var,5.3,Var,iOS,Var,IPX8
61999.00,86,6.7 İnç,Dynamic AMOLED,QHD+,120 Hz,Corning Gorilla Glass Victus 2,4900 mAh,Var,45 W,Var,50 MP,Var,4320p (Ultra HD) 8K,30 fps,12 MP,Qualcomm Snapdragon 8 Elite,8 Çekirdek,3 nm,2.258.900 Puan,12 GB,256 GB,7.3 mm,190 Gram,Cam,Var,5.4,Var,Android,Var,IPX8
12399.95,57,6.7 İnç,Super AMOLED,FHD+,120 Hz,Corning Gorilla Glass Victus+,5000 mAh,Var,25 W,Yok,50 MP,Var,2160p (Ultra HD) 4K,30 fps,13 MP,Samsung Exynos 1380,8 Çekirdek,5 nm,583.300 Puan,6 GB,128 GB,7.7 mm,200 Gram,Cam,Var,5.3,Var,Android,Var,IPX7
31475.53,79,6.83 İnç,AMOLED,FHD+,120 Hz,Corning Gorilla Glass 7i,5500 mAh,Var,67 W,Yok,50 MP,Var,2160p (Ultra HD) 4K,60 fps,32 MP,MediaTek Dimensity 8400,8 Çekirdek,4 nm,1.640.700 Puan,12 GB,256 GB,7.5 mm,194 Gram,Plastik (Cam Görünümlü),Var,6.0,Var,Android,Var,IPX8
16614.31,,6.57 İnç,AMOLED,FHD+,120 Hz,AGC Dragontrail DT-STAR D+,7000 mAh,Var,80 W,Yok,50 MP,Yok,1080p (Full HD),60 fps,16 MP,MediaTek Dimensity 6300,8 Çekirdek,6 nm,,8 GB,256 GB,8 mm,185 Gram,,Var,5.4,Var,Android,Var,IPX9
77212.28,83,6.7 İnç,OLED,FHD+,120 Hz,Corning Ceramic Shield Glass,4441 mAh,Var,20 W,Var,48 MP,Var,2160p (Ultra HD) 4K,60 fps,12 MP,Apple A17 Pro,6 Çekirdek,3 nm,1.740.400 Puan,8 GB,256 GB,8.25 mm,221 Gram,Cam,Var,5.3,Var,iOS,Var,IPX8
89377.69,96,6.78 İnç,AMOLED,FHD+,120 Hz,Vivo Armor Glass,6510 mAh,Var,90 W,Var,50 MP,Var,4320p (Ultra HD) 8K,30 fps,50 MP,MediaTek Dimensity 9500,8 Çekirdek,3 nm,2.982.900 Puan,16 GB,512 GB,7.99 mm,226 Gram,Cam,Var,5.4,Var,Android,Var,IPX9
31162.00,,6.83 İnç,AMOLED,FHD+,120 Hz,Corning Gorilla Glass Victus 2,6500 mAh,Var,100 W,Yok,200 MP,Var,2160p (Ultra HD) 4K,30 fps,32 MP,Qualcomm Snapdragon 7s Gen 4 (SM7635-AC),8 Çekirdek,4 nm,,8 GB,256 GB,8.47 mm,207.1 Gram,,Var,5.4,Var,Android,Var,IPX9K
74999.00,100,6.78 İnç,AMOLED,FHD+,165 Hz,Corning Gorilla Glass Victus 2,7300 mAh,Var,120 W,Var,50 MP,Var,4320p (Ultra HD) 8K,30 fps,32 MP,Qualcomm Snapdragon 8 Elite Gen 5,8 Çekirdek,3 nm,2.790.200 Puan,16 GB,512 GB,8.2 mm,215 Gram,,Var,6.0,Var,Android,Var,IPX9K
55599.00,92,6.8 İnç,OLED,FHD+,120 Hz,NanoCrystal Shield,5850 mAh,Var,100 W,Var,50 MP,Var,2160p (Ultra HD) 4K,60 fps,50 MP,Qualcomm Snapdragon 8 Elite,8 Çekirdek,3 nm,2.727.900 Puan,12 GB,512 GB,8.8 mm,223 Gram,Cam,Var,5.4,Var,Android,Var,IPX9
128998.99,91,6.9 İnç,OLED,FHD+,120 Hz,Corning Ceramic Shield Glass (Gen2),4832 mAh,Var,40 W,Var,48 MP,Var,2160p (Ultra HD) 4K,60 fps,18 MP,Apple A19 Pro,6 Çekirdek,3 nm,2.697.900 Puan,12 GB,512 GB,8.75 mm,231 Gram,Cam,Var,6.0,Var,iOS,Var,IPX8
26656.00,,6.83 İnç,AMOLED,FHD+,120 Hz,Corning Gorilla Glass Victus 2,6580 mAh,Var,45 W,Yok,200 MP,Var,2160p (Ultra HD) 4K,30 fps,20 MP,MediaTek Dimensity 7400,8 Çekirdek,4 nm,,8 GB,256 GB,7.96 mm,210 Gram,,Var,5.4,Var,Android,Var,IPX9K
74799.00,81,6.5 İnç,OLED,FHD+,120 Hz,Corning Ceramic Shield Glass (Gen2),3149 mAh,Var,20 W,Var,48 MP,Var,2160p (Ultra HD) 4K,60 fps,18 MP,Apple A19 Pro,6 Çekirdek,3 nm,2.123.800 Puan,12 GB,256 GB,5.64 mm,165 Gram,Cam,Var,6.0,Var,iOS,Var,IPX8
47313.45,81,6.2 İnç,Dynamic AMOLED,FHD+,120 Hz,Corning Gorilla Glass Victus 2,4000 mAh,Var,25 W,Var,50 MP,Var,4320p (Ultra HD) 8K,30 fps,12 MP,Qualcomm Snapdragon 8 Elite,8 Çekirdek,3 nm,2.193.700 Puan,12 GB,128 GB,7.2 mm,162 Gram,Cam,Var,5.4,Var,Android,Var,IPX8
11349.00,53,6.9 İnç,IPS LCD,FHD+,144 Hz,,7000 mAh,Var,33 W,Yok,50 MP,Yok,1080p (Full HD),30 fps,8 MP,Qualcomm Snapdragon 685 (SM6225-AD),8 Çekirdek,6 nm,372.100 Puan,8 GB,256 GB,8.4 mm,214 Gram,,Yok,5.0,Var,Android,Var,IPX4
31150.00,80,6.83 İnç,AMOLED,FHD+,120 Hz,Corning Gorilla Glass 7i,5500 mAh,Var,67 W,Yok,50 MP,Var,2160p (Ultra HD) 4K,60 fps,32 MP,MediaTek Dimensity 8400,8 Çekirdek,4 nm,1.640.700 Puan,12 GB,512 GB,7.5 mm,194 Gram,Plastik (Cam Görünümlü),Var,6.0,Var,Android,Var,IPX8
11522.08,56,6.67 İnç,AMOLED,FHD+,120 Hz,Corning Gorilla Glass 5,5500 mAh,Var,33 W,Yok,108 MP,Yok,1080p (Full HD),60 fps,20 MP,MediaTek Helio G99 (MT6789),8 Çekirdek,6 nm,443.500 Puan,8 GB,256 GB,8.16 mm,196.5 Gram,Plastik (Cam Görünümlü),Yok,5.3,Var,Android,Var,IPX4
16224.86,61,6.7 İnç,Super AMOLED,FHD+,120 Hz,Corning Gorilla Glass Victus+,5000 mAh,Var,45 W,Yok,50 MP,Var,2160p (Ultra HD) 4K,30 fps,12 MP,Qualcomm Snapdragon 6 Gen 3 (SM6475-AB),8 Çekirdek,4 nm,655.200 Puan,8 GB,128 GB,7.4 mm,195 Gram,Cam,Var,5.4,Var,Android,Var,IPX7
72212.93,79,6.1 İnç,OLED,FHD+,120 Hz,Corning Ceramic Shield Glass,3274 mAh,Var,20 W,Var,48 MP,Var,2160p (Ultra HD) 4K,60 fps,12 MP,Apple A17 Pro,6 Çekirdek,3 nm,1.791.300 Puan,8 GB,128 GB,8.25 mm,187 Gram,Cam,Var,5.3,Var,iOS,Var,IPX8
15438.18,63,6.67 İnç,AMOLED,FHD+,120 Hz,Corning Gorilla Glass Victus,5100 mAh,Var,67 W,Yok,200 MP,Var,2160p (Ultra HD) 4K,30 fps,16 MP,Qualcomm Snapdragon 7s Gen 2 (SM7435-AB),8 Çekirdek,4 nm,581.500 Puan,8 GB,256 GB,7.98 mm,187 Gram,Cam,Var,5.2,Var,Android,Var,IPX4
78489.90,94,6.73 İnç,AMOLED,QHD+,120 Hz,Xiaomi Shield Glass 2,5410 mAh,Var,90 W,Var,50 MP,Var,4320p (Ultra HD) 8K,30 fps,32 MP,Qualcomm Snapdragon 8 Elite,8 Çekirdek,3 nm,2.661.600 Puan,16 GB,512 GB,9.48 mm,226 Gram,,Var,6.0,Var,Android,Var,IPX8
49400.00,82,6.7 İnç,Dynamic AMOLED,QHD+,120 Hz,Corning Gorilla Glass Ceramic 2,3900 mAh,Var,25 W,Var,200 MP,Var,4320p (Ultra HD) 8K,30 fps,12 MP,Qualcomm Snapdragon 8 Elite,8 Çekirdek,3 nm,2.161.200 Puan,12 GB,256 GB,5.8 mm,163 Gram,Cam,Var,5.4,Var,Android,Var,IPX8
29508.46,73,6.7 İnç,Dynamic AMOLED,FHD+,120 Hz,Corning Gorilla Glass Victus+,4700 mAh,Var,25 W,Var,50 MP,Var,4320p (Ultra HD) 8K,30 fps,10 MP,Samsung Exynos 2400e,10 Çekirdek,4 nm,1.832.742 Puan,8 GB,256 GB,8 mm,213 Gram,Cam,Var,5.3,Var,Android,Var,IPX8
54076.80,90,6.36 İnç,AMOLED,FHD+,120 Hz,Xiaomi Shield Glass,5240 mAh,Var,90 W,Var,50 MP,Var,4320p (Ultra HD) 8K,30 fps,32 MP,Qualcomm Snapdragon 8 Elite,8 Çekirdek,3 nm,2.692.300 Puan,12 GB,512 GB,8.08 mm,191 Gram,,Var,6.0,Var,Android,Var,IPX8
19212.00,63,6.78 İnç,AMOLED,FHD+,144 Hz,Corning Gorilla Glass 7i,5200 mAh,Var,45 W,Yok,50 MP,Var,2160p (Ultra HD) 4K,30 fps,50 MP,MediaTek Dimensity 7300,8 Çekirdek,4 nm,733.500 Puan,8 GB,256 GB,7.29 mm,178 Gram,,Var,5.4,Var,Android,Var,IPX9
11079.00,53,6.7 İnç,Super AMOLED,FHD+,90 Hz,Corning Gorilla Glass Victus,5000 mAh,Var,25 W,Yok,50 MP,Var,1080p (Full HD),30 fps,13 MP,Samsung Exynos 1330,8 Çekirdek,5 nm,445.300 Puan,6 GB,128 GB,7.5 mm,192 Gram,,Var,5.3,Var,Android,Var,IPX4
17700.93,65,6.4 İnç,Dynamic AMOLED,FHD+,120 Hz,Corning Gorilla Glass Victus,4500 mAh,Var,25 W,Var,12 MP,Var,2160p (Ultra HD) 4K,60 fps,32 MP,Qualcomm Snapdragon 888 (SM8350),8 Çekirdek,5 nm,955.800 Puan,8 GB,128 GB,7.9 mm,177 Gram,Polimer (Cam Görünümlü),Var,5.0,Var,Android,Var,IPX8
23237.75,67,6.55 İnç,AMOLED,FHD+,120 Hz,,6000 mAh,Var,80 W,Yok,200 MP,Var,2160p (Ultra HD) 4K,30 fps,50 MP,Qualcomm Snapdragon 7 Gen 3 (SM7550-AB),8 Çekirdek,4 nm,838.600 Puan,8 GB,256 GB,7.3 mm,184 Gram,,Var,5.4,Var,Android,Var,IPX6
11699.00,,6.67 İnç,IPS LCD,HD+,120 Hz,,6000 mAh,Var,45 W,Yok,50 MP,Yok,1080p (Full HD),30 fps,8 MP,MediaTek Dimensity 6300,8 Çekirdek,6 nm,,8 GB,256 GB,7.99 mm,194 Gram,,Var,5.4,Var,Android,Var,IPX5
14806.61,57,6.78 İnç,AMOLED,FHD+,144 Hz,Corning Gorilla Glass 7i,5160 mAh,Var,45 W,Yok,50 MP,Yok,1440p (Quad HD) 2K,30 fps,13 MP,MediaTek Dimensity 6400,8 Çekirdek,6 nm,449.900 Puan,8 GB,256 GB,6.09 mm,156 Gram,,Var,5.4,Var,Android,Var,IPX4
67949.00,77,6.7 İnç,OLED,FHD+,60 Hz,Corning Ceramic Shield Glass (Gen2),4674 mAh,Var,30 W,Var,48 MP,Var,2160p (Ultra HD) 4K,60 fps,12 MP,Apple A18,6 Çekirdek,3 nm,1.572.700 Puan,8 GB,128 GB,7.8 mm,199 Gram,Cam,Var,5.3,Var,iOS,Var,IPX8
24399.00,69,6.55 İnç,AMOLED,FHD+,120 Hz,,6000 mAh,Var,80 W,Yok,200 MP,Var,2160p (Ultra HD) 4K,30 fps,50 MP,Qualcomm Snapdragon 7 Gen 3 (SM7550-AB),8 Çekirdek,4 nm,848.100 Puan,12 GB,256 GB,7.3 mm,184 Gram,,Var,5.4,Var,Android,Var,IPX6
26790.00,76,6.67 İnç,AMOLED,FHD+,144 Hz,Corning Gorilla Glass 5,5000 mAh,Var,67 W,Yok,50 MP,Var,2160p (Ultra HD) 4K,60 fps,32 MP,MediaTek Dimensity 8300,8 Çekirdek,4 nm,1.359.000 Puan,12 GB,512 GB,7.8 mm,195 Gram,Plastik (Cam Görünümlü),Var,5.4,Var,Android,Var,IPX8
52224.85,78,6.8 İnç,Dynamic AMOLED,QHD+,120 Hz,Corning Gorilla Glass Victus 2,5000 mAh,Var,45 W,Var,200 MP,Var,4320p (Ultra HD) 8K,30 fps,12 MP,Qualcomm Snapdragon 8 Gen 2 (SM8550-AB),8 Çekirdek,4 nm,1.542.300 Puan,8 GB,256 GB,8.9 mm,233 Gram,Cam,Var,5.3,Var,Android,Var,IPX8
16185.00,63,6.67 İnç,AMOLED,FHD+,120 Hz,Corning Gorilla Glass Victus 2,5500 mAh,Var,45 W,Yok,200 MP,Var,1080p (Full HD),60 fps,32 MP,MediaTek Helio G100,8 Çekirdek,6 nm,452.700 Puan,12 GB,512 GB,8.24 mm,180 Gram,Plastik (Cam Görünümlü),Yok,5.3,Var,Android,Var,IPX4
9199.00,48,6.7 İnç,Super AMOLED,FHD+,90 Hz,,5000 mAh,Var,25 W,Yok,50 MP,Yok,1080p (Full HD),30 fps,13 MP,MediaTek Helio G99 (MT6789),8 Çekirdek,6 nm,387.400 Puan,4 GB,128 GB,7.9 mm,200 Gram,Plastik (Cam Görünümlü),Yok,5.3,Var,Android,Var,IPX4
